PetType,Breed,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,target,AgeYears
Rabbit,Rabbit,Brown,Medium,3.288965796113957,1,0,78,330,0,1,13.58
Dog,Golden Retriever,Black,Large,12.705150962827016,1,1,39,101,1,0,8.42
Dog,Golden Retriever,Black,Small,23.5744237966606,1,0,22,66,0,0,13.58
Bird,Parakeet,Black,Small,4.237441952485787,0,0,45,215,1,0,12.5
Dog,Golden Retriever,Black,Large,15.187667105933771,0,0,79,251,1,0,14.83
Cat,Persian,Black,Large,20.136226138042133,1,0,66,319,0,0,5.33
Cat,Persian,Brown,Small,3.725736953081459,1,1,67,364,0,0,7.0
Rabbit,Rabbit,Orange,Medium,15.552790890674816,0,0,87,480,0,0,14.08
Cat,Siamese,Black,Medium,25.377505060422564,1,0,18,149,0,1,14.5
Rabbit,Rabbit,Gray,Small,16.526986729832565,1,0,53,40,0,0,12.25
Cat,Persian,Orange,Large,6.15851406835823,1,0,45,413,0,0,6.33
Dog,Golden Retriever,White,Medium,22.72557687211942,1,1,81,330,0,0,12.75
Dog,Golden Retriever,Gray,Medium,15.881930473586367,0,0,63,145,0,1,0.67
Bird,Parakeet,Brown,Medium,5.064797568099181,1,0,31,300,1,1,6.08
Rabbit,Rabbit,Brown,Small,23.17466360580925,0,0,81,471,0,0,4.33
Cat,Siamese,White,Medium,29.51822939335661,1,0,63,224,0,1,4.75
Bird,Parakeet,Gray,Medium,4.870597499181725,1,1,56,101,0,0,7.75
Cat,Siamese,Brown,Large,2.1013030595185893,1,0,50,58,0,0,13.0
Bird,Parakeet,White,Small,6.639442056287098,1,0,62,381,1,0,12.42
Rabbit,Rabbit,Gray,Small,24.903771591763363,0,0,52,167,0,0,9.42
Dog,Labrador,Brown,Medium,17.98252086734571,1,0,17,362,0,1,0.75
Cat,Siamese,Gray,Medium,29.34526548369869,1,0,41,175,0,0,11.17
Bird,Parakeet,Brown,Medium,13.4386498253176,1,0,72,272,1,1,0.92
Bird,Parakeet,Gray,Large,3.224978584224661,0,1,60,44,0,0,7.17
Rabbit,Rabbit,Gray,Medium,19.37045945783741,1,1,76,422,0,0,2.75
Cat,Siamese,Brown,Small,24.4185514065418,1,0,3,274,1,0,8.5
Dog,Labrador,Orange,Large,12.65259029944916,0,0,42,90,0,0,4.25
Bird,Parakeet,Gray,Medium,17.08994809859588,1,0,89,329,0,1,2.17
Bird,Parakeet,Brown,Large,21.39279375848912,1,1,62,293,0,0,2.67
Bird,Parakeet,Orange,Small,15.667412182207116,1,0,14,366,1,0,6.75
Bird,Parakeet,Brown,Large,8.062321828086553,1,0,66,484,0,0,2.83
Rabbit,Rabbit,Brown,Small,1.1892369024377227,0,0,53,279,1,0,5.5
Bird,Parakeet,Brown,Medium,19.224262038612512,1,0,56,171,0,1,14.42
Bird,Parakeet,Black,Medium,21.99568576283505,1,0,56,489,1,1,13.5
Cat,Siamese,White,Small,13.51814621016972,1,0,33,477,0,0,14.92
Bird,Parakeet,Orange,Large,20.429127798803044,1,0,57,27,1,0,11.08
Cat,Persian,Black,Medium,24.806657194777006,0,0,81,20,0,0,5.67
Rabbit,Rabbit,Brown,Small,4.56473451997021,1,0,4,400,1,0,11.33
Cat,Siamese,Black,Large,6.495214231088522,1,0,54,243,1,0,4.5
Rabbit,Rabbit,Gray,Large,22.930774104670185,1,0,51,425,0,0,7.25
Bird,Parakeet,Gray,Large,4.311329626876833,1,0,69,226,0,0,14.67
Cat,Siamese,Black,Large,10.32471313953827,1,0,27,478,0,0,14.25
Bird,Parakeet,Brown,Small,26.583966379582726,1,0,32,366,0,0,14.58
Dog,Golden Retriever,Orange,Large,8.717130728909677,0,0,75,289,0,0,6.25
Bird,Parakeet,Orange,Medium,18.59699397881877,1,1,5,474,1,1,0.17
Rabbit,Rabbit,Black,Medium,4.608592030455901,1,0,7,314,1,1,10.33
Rabbit,Rabbit,Gray,Medium,22.25344613363305,1,0,71,14,0,1,13.5
Rabbit,Rabbit,Brown,Medium,5.550600889079588,0,0,65,315,0,0,5.58
Cat,Persian,Brown,Medium,11.424474033764364,0,0,65,191,0,0,3.67
Cat,Siamese,Gray,Medium,25.634468467928105,0,0,36,296,0,1,0.58
Dog,Poodle,Black,Medium,26.848104132587213,1,0,20,334,1,1,0.33
Bird,Parakeet,Orange,Medium,2.346576009001557,1,0,72,367,0,1,0.08
Bird,Parakeet,Brown,Medium,22.44902885493685,0,0,2,455,0,1,0.67
Cat,Siamese,Brown,Small,5.746594248162108,1,0,2,158,1,0,4.08
Bird,Parakeet,Brown,Medium,12.099146548215368,0,0,35,137,1,0,4.67
Bird,Parakeet,White,Medium,28.413904167297463,1,0,12,259,0,1,2.08
Dog,Poodle,Black,Medium,9.322617184674757,0,1,71,425,0,0,1.42
Bird,Parakeet,White,Small,2.089017281741323,1,0,64,181,1,1,13.58
Rabbit,Rabbit,White,Small,18.66183939650056,0,0,52,306,0,1,2.67
Bird,Parakeet,Brown,Medium,24.59759785196193,1,1,69,405,0,0,4.08
Cat,Siamese,Gray,Large,8.740079354864383,1,1,34,268,1,0,6.67
Dog,Golden Retriever,Brown,Large,14.34185938567929,1,0,17,9,0,0,8.33
Cat,Siamese,Gray,Small,4.031308748395133,1,0,86,172,1,1,0.25
Dog,Poodle,Orange,Large,17.40651875605614,0,0,10,155,0,0,7.25
Bird,Parakeet,Brown,Large,15.18909857049649,1,0,51,244,1,0,10.92
Rabbit,Rabbit,Orange,Large,20.179154056432868,0,1,74,40,0,0,6.83
Rabbit,Rabbit,White,Medium,14.02341838760729,0,0,65,412,1,1,0.25
Bird,Parakeet,Gray,Small,4.134247316325261,1,0,34,231,1,0,6.92
Dog,Golden Retriever,Orange,Medium,3.032942927755818,1,0,74,314,1,1,4.08
Bird,Parakeet,Brown,Small,17.51481892522731,1,0,66,446,0,0,12.25
Cat,Siamese,White,Large,22.03886298644912,1,1,81,139,1,0,7.25
Cat,Siamese,White,Large,9.356771163634589,1,0,68,345,0,0,9.42
Cat,Siamese,White,Medium,3.062210538189667,1,0,56,5,0,1,10.0
Cat,Persian,White,Small,26.790244037921266,1,0,43,480,0,0,7.25
Bird,Parakeet,Orange,Small,19.304454263742063,1,0,89,487,0,0,14.5
Rabbit,Rabbit,Black,Small,1.4440070121802575,1,0,33,155,0,0,7.33
Rabbit,Rabbit,Orange,Small,9.360578332073432,0,0,8,122,0,0,1.92
Bird,Parakeet,Black,Medium,28.627513128473197,0,0,48,411,1,1,1.75
Rabbit,Rabbit,Black,Large,27.18780833129154,1,1,49,481,1,0,10.5
Bird,Parakeet,Orange,Large,16.575420212113002,1,0,66,314,1,0,7.17
Bird,Parakeet,Gray,Small,29.206171528544026,1,1,70,138,0,0,0.33
Dog,Labrador,White,Large,20.74659916590029,1,0,21,482,0,1,1.25
Dog,Labrador,Orange,Large,25.81207792819134,1,0,71,142,1,1,0.58
Dog,Golden Retriever,Gray,Medium,14.977599417965772,1,0,6,474,0,1,0.58
Cat,Siamese,Black,Medium,25.64818725073699,1,0,38,498,0,1,8.42
Rabbit,Rabbit,Brown,Medium,28.846324099101917,1,0,15,457,0,1,12.42
Rabbit,Rabbit,Black,Small,15.82883360408785,0,0,34,415,0,0,12.33
Bird,Parakeet,Gray,Small,19.00374530167086,0,1,28,158,1,0,14.25
Cat,Siamese,White,Medium,8.077856318050287,1,0,51,31,0,0,9.92
Rabbit,Rabbit,Black,Large,9.100845073020226,0,0,34,413,0,0,4.83
Rabbit,Rabbit,White,Large,20.279721730771858,1,0,29,422,0,0,13.75
Rabbit,Rabbit,Gray,Medium,13.047731471530165,1,1,17,137,0,1,5.83
Bird,Parakeet,Brown,Large,29.888747101937632,0,0,3,376,0,0,11.58
Cat,Siamese,Gray,Small,13.97750718650242,0,0,54,39,0,0,12.0
Dog,Poodle,White,Small,24.52153013980749,0,0,18,89,1,0,9.33
Cat,Siamese,Gray,Medium,12.129401281344869,1,0,38,465,0,1,12.67
Rabbit,Rabbit,Orange,Large,11.317448441819144,1,0,14,334,0,0,13.42
Dog,Poodle,White,Small,6.658155780702091,1,0,42,163,0,1,1.42
Bird,Parakeet,Black,Large,1.521655815599242,1,0,29,480,0,0,14.08
Cat,Siamese,White,Small,20.59043868998165,1,0,30,97,1,0,10.5
Rabbit,Rabbit,Gray,Small,25.3988518511754,0,0,20,407,0,0,2.5
Bird,Parakeet,White,Medium,11.071342318427565,1,0,55,366,0,1,12.92
Rabbit,Rabbit,Black,Small,25.81886430659321,1,0,42,254,0,1,10.17
Dog,Labrador,Brown,Large,17.894498367229524,1,0,79,96,0,1,10.83
Dog,Golden Retriever,Brown,Small,12.441982749159822,0,0,66,496,0,0,8.67
Dog,Labrador,Brown,Medium,19.942428485576563,0,0,56,393,1,1,2.08
Rabbit,Rabbit,Brown,Small,8.644557754399562,1,0,3,35,0,1,12.25
Dog,Golden Retriever,White,Small,6.81833061425063,0,1,36,421,0,0,1.0
Dog,Poodle,Orange,Medium,26.35977799522563,1,0,55,222,0,1,2.25
Dog,Labrador,Black,Large,2.345683694438644,0,0,70,475,0,0,8.42
Bird,Parakeet,Brown,Large,14.748960199425742,1,0,41,3,1,0,14.33
Rabbit,Rabbit,Brown,Large,2.743148126273479,0,0,65,471,0,0,10.67
Bird,Parakeet,White,Medium,10.754026074751875,0,0,53,108,1,0,13.17
Dog,Labrador,Black,Medium,13.01548340658602,1,0,35,58,0,1,3.42
Rabbit,Rabbit,Orange,Small,14.11823811588277,0,0,18,46,0,0,9.75
Cat,Siamese,Orange,Medium,15.42835016479613,1,0,18,282,0,1,0.5
Rabbit,Rabbit,Orange,Large,18.87136717655356,1,1,34,203,0,0,11.42
Cat,Persian,Orange,Medium,10.923405767001066,1,0,89,386,0,1,11.75
Bird,Parakeet,Orange,Large,17.361648962163613,0,0,2,395,0,0,1.25
Cat,Siamese,Black,Medium,7.040052579452828,0,0,24,28,1,1,1.42
Bird,Parakeet,White,Large,18.47282954366713,0,0,31,153,0,0,4.75
Cat,Persian,Gray,Small,9.45103902160541,1,0,24,203,0,1,1.08
Cat,Siamese,Gray,Large,3.8931431733824295,1,0,69,317,0,0,7.33
Dog,Golden Retriever,Black,Small,3.984247561918018,0,0,22,205,1,0,12.25
Rabbit,Rabbit,White,Small,19.55348084554225,1,0,76,125,0,1,0.83
Cat,Persian,Gray,Medium,28.31267850145452,0,0,10,309,1,0,11.17
Cat,Siamese,Brown,Medium,8.655290071585068,1,0,73,269,0,1,12.42
Cat,Persian,Black,Large,13.677989437245138,1,0,42,180,0,0,8.42
Bird,Parakeet,Black,Small,15.155028965939954,1,0,19,203,0,0,7.5
Cat,Persian,Black,Small,3.67580113232012,1,1,35,397,1,0,14.83
Cat,Persian,Orange,Medium,3.1125136288107926,1,0,30,102,0,1,11.92
Dog,Labrador,Brown,Medium,12.168077566707693,1,0,30,401,0,1,8.75
Dog,Poodle,Orange,Small,6.72601569564282,0,0,41,60,0,0,2.5
Dog,Golden Retriever,Black,Small,15.553367034113514,1,0,80,440,0,0,6.58
Cat,Siamese,Orange,Small,23.78440534645676,1,0,76,400,0,0,12.25
Bird,Parakeet,Brown,Large,5.470278205753691,0,0,74,474,0,0,1.92
Dog,Golden Retriever,White,Small,6.676634856896794,0,0,77,164,0,0,9.92
Dog,Labrador,White,Small,27.243894524927505,1,0,72,152,0,1,10.92
Rabbit,Rabbit,Black,Small,3.899572177029524,1,0,42,339,1,0,8.42
Bird,Parakeet,Orange,Small,3.3475413586483262,1,1,32,238,0,0,1.83
Bird,Parakeet,Gray,Medium,28.404044845562208,1,0,24,278,0,1,0.08
Dog,Golden Retriever,White,Small,28.887306442133905,1,0,56,160,0,0,8.75
Dog,Poodle,White,Medium,25.66483790733493,0,0,29,387,0,0,5.08
Bird,Parakeet,White,Small,21.81824683600593,0,0,73,330,1,0,12.75
Dog,Poodle,Black,Large,22.32887326166418,1,0,24,414,0,0,14.08
Cat,Persian,Orange,Small,15.62831763583967,1,0,48,242,1,0,7.33
Rabbit,Rabbit,Brown,Small,10.52952584491544,1,0,13,445,0,0,8.42
Rabbit,Rabbit,Brown,Medium,27.84190726651788,0,0,59,278,0,0,5.08
Cat,Siamese,Orange,Large,1.3286452029301388,1,1,79,360,0,0,11.58
Cat,Siamese,Gray,Medium,7.853761117793785,1,0,37,99,1,1,6.92
Cat,Persian,Black,Large,15.310919944113452,1,0,6,379,0,1,0.58
Dog,Poodle,Gray,Medium,26.37464295352689,1,0,27,311,0,1,2.33
Rabbit,Rabbit,White,Small,22.06280151069572,1,0,87,375,0,0,11.5
Bird,Parakeet,Gray,Medium,24.73920368082013,1,0,41,41,0,1,7.17
Rabbit,Rabbit,Gray,Small,2.901793106752453,1,0,22,485,1,0,12.67
Rabbit,Rabbit,Gray,Medium,15.447762867288876,0,1,50,52,0,0,8.5
Bird,Parakeet,Gray,Large,24.366659873165485,1,0,58,415,0,0,8.5
Cat,Persian,Orange,Small,14.172218173192176,0,0,89,446,1,0,0.17
Rabbit,Rabbit,White,Medium,15.031649130963476,0,0,60,236,0,0,14.58
Rabbit,Rabbit,Gray,Small,17.56520337882913,1,0,45,79,0,0,10.17
Cat,Siamese,Orange,Medium,25.99437932145844,0,1,4,158,1,0,7.75
Dog,Golden Retriever,Black,Large,16.210516652350314,0,1,20,488,0,0,12.83
Rabbit,Rabbit,White,Large,1.4479754042592603,1,0,5,88,0,1,8.5
Rabbit,Rabbit,Black,Small,7.860469831121901,1,0,71,213,0,1,7.25
Bird,Parakeet,White,Large,26.29267340711569,1,0,17,390,0,0,8.17
Rabbit,Rabbit,Black,Medium,22.968903400867767,1,0,40,254,1,1,1.42
Cat,Siamese,Brown,Medium,6.438289464452832,0,0,86,74,1,1,0.42
Bird,Parakeet,Black,Large,16.53414179011525,0,0,73,214,1,0,7.25
Bird,Parakeet,White,Small,15.7593116492693,1,1,72,370,0,0,3.08
Rabbit,Rabbit,Brown,Small,2.870522001910292,1,1,26,45,1,0,10.42
Cat,Persian,Gray,Large,3.429938203899587,1,1,18,233,0,0,10.08
Bird,Parakeet,White,Small,14.704699738271811,1,1,51,454,1,0,9.08
Cat,Siamese,Orange,Large,20.186140912818697,0,1,16,494,0,0,5.08
Bird,Parakeet,Black,Medium,9.271140594946631,1,0,19,461,0,1,1.75
Cat,Siamese,White,Large,10.109184753591752,1,1,12,203,1,1,4.83
Dog,Golden Retriever,Gray,Medium,12.008381337001635,1,0,8,246,0,1,8.75
Dog,Poodle,Gray,Medium,14.22688627321516,1,0,30,236,0,1,10.58
Dog,Labrador,Gray,Large,18.716865237020865,1,1,72,450,0,0,10.0
Cat,Siamese,White,Medium,23.17247964902348,1,1,86,352,1,0,10.08
Bird,Parakeet,Gray,Medium,7.58902265712813,1,1,30,462,1,0,9.08
Rabbit,Rabbit,Brown,Small,25.163080950776244,0,0,5,89,1,0,6.0
Bird,Parakeet,White,Medium,1.8445897646840528,1,1,62,106,0,0,9.33
Dog,Labrador,Orange,Small,26.738715324066,1,0,73,321,0,1,8.92
Dog,Golden Retriever,Black,Medium,8.687585893809048,0,0,3,125,0,0,13.75
Rabbit,Rabbit,Orange,Large,1.119079884026005,0,0,45,137,0,0,10.08
Dog,Golden Retriever,White,Small,26.134049103582456,1,0,88,143,0,0,5.67
Cat,Siamese,Black,Medium,27.952819416036,0,0,25,105,0,0,9.67
Dog,Golden Retriever,Gray,Large,22.564473009257917,1,1,65,479,0,0,12.83
Cat,Persian,Orange,Medium,28.043546488264493,0,1,87,375,0,0,0.33
Rabbit,Rabbit,Gray,Medium,6.392075585357153,1,0,77,210,0,1,6.17
Dog,Poodle,Gray,Large,28.101667123033945,0,0,52,321,0,0,13.17
Bird,Parakeet,Orange,Large,11.041715204507708,0,0,7,378,1,0,8.17
Dog,Golden Retriever,Black,Small,8.40028463445269,1,0,74,167,0,0,5.83
Rabbit,Rabbit,Black,Large,9.476788350090288,1,0,34,173,0,0,6.33
Bird,Parakeet,Gray,Small,12.785782317228868,1,0,37,267,1,0,9.92
Cat,Persian,Orange,Large,22.293888885390743,1,1,13,366,1,0,11.42
Bird,Parakeet,Orange,Medium,11.33532447969722,0,1,31,253,0,0,9.08
Cat,Persian,White,Medium,28.98292944355295,1,0,13,109,0,1,4.17
Cat,Persian,White,Large,1.0633401428602145,0,0,65,420,1,0,1.75
Bird,Parakeet,White,Small,25.277696961655742,1,0,74,209,0,1,0.83
Cat,Siamese,Orange,Small,20.3866421333785,1,0,77,188,1,0,10.67
Dog,Labrador,Gray,Large,8.617422324584052,1,0,70,144,0,1,10.83
Bird,Parakeet,Orange,Medium,23.04903788202829,1,0,31,59,0,1,12.25
Rabbit,Rabbit,Gray,Medium,26.56089963737425,1,0,12,60,1,1,7.25
Cat,Siamese,Gray,Small,12.367943272785306,0,0,66,274,1,0,12.17
Dog,Golden Retriever,Gray,Medium,18.53264919748902,0,1,46,94,0,0,6.67
Dog,Poodle,Black,Small,13.35754875820208,0,0,52,241,0,0,11.92
Dog,Golden Retriever,Black,Medium,3.3783114950374413,1,0,51,301,0,1,2.08
Rabbit,Rabbit,White,Small,24.42443950282072,0,0,53,72,0,0,13.33
Bird,Parakeet,Gray,Small,10.819725644266343,0,0,18,155,0,0,13.83
Cat,Persian,Brown,Large,10.232208641944316,1,0,86,420,1,1,3.33
Cat,Siamese,Orange,Medium,23.56039129663931,1,0,67,178,1,1,1.83
Rabbit,Rabbit,Brown,Medium,23.63660904880726,1,0,7,375,0,1,14.42
Dog,Labrador,Gray,Medium,27.46538102215032,1,0,10,420,0,1,2.33
Rabbit,Rabbit,Orange,Medium,10.090843435547065,1,1,66,222,0,0,8.25
Dog,Golden Retriever,White,Large,13.76643006142879,1,0,39,221,0,0,6.08
Rabbit,Rabbit,Black,Medium,16.15857416796043,1,0,18,364,0,1,14.5
Bird,Parakeet,Gray,Large,24.44237685244414,0,0,36,145,0,0,6.0
Dog,Golden Retriever,Black,Medium,4.689521721173311,1,0,9,412,0,1,11.17
Dog,Labrador,Brown,Large,8.911022888295527,1,0,83,351,0,1,1.92
Dog,Poodle,Black,Medium,12.740936798926183,0,0,14,357,0,1,1.08
Dog,Poodle,Black,Large,4.001875463177799,0,0,4,497,0,0,3.92
Cat,Siamese,Gray,Medium,11.486612234336295,1,1,3,201,0,0,5.75
Dog,Golden Retriever,White,Large,18.717825483535385,1,0,36,89,1,0,8.58
Dog,Poodle,Gray,Large,13.37692079362366,1,0,51,251,0,0,5.83
Rabbit,Rabbit,White,Medium,4.1941262046500265,0,1,45,133,0,0,12.42
Cat,Persian,Black,Large,20.48952367465549,0,0,47,250,0,0,9.5
Rabbit,Rabbit,White,Large,10.283194089171134,0,0,77,96,0,0,12.33
Dog,Labrador,White,Large,1.4494490129595188,1,0,60,32,0,1,7.0
Cat,Persian,Orange,Small,12.853569121447308,1,0,64,434,1,0,4.25
Bird,Parakeet,Brown,Medium,27.192530030960786,1,0,5,297,0,1,8.17
Cat,Siamese,Orange,Medium,10.068685559102285,1,0,67,226,0,1,12.75
Dog,Golden Retriever,Orange,Small,2.3415956028599987,1,0,47,250,0,0,9.0
Bird,Parakeet,Black,Medium,13.897921047858365,1,0,51,77,1,1,9.5
Dog,Golden Retriever,Orange,Large,3.04067512927485,1,1,62,403,0,0,4.75
Cat,Siamese,Gray,Large,12.574171166667146,1,0,15,242,0,1,11.75
Rabbit,Rabbit,White,Small,24.06334762238284,0,0,51,329,0,0,3.75
Dog,Poodle,White,Medium,25.7353818981445,1,0,60,186,0,1,1.58
Rabbit,Rabbit,Brown,Medium,1.39826245439477,1,1,57,403,0,0,4.83
Bird,Parakeet,White,Medium,20.95834866282434,1,0,29,77,0,1,5.42
Dog,Poodle,Orange,Small,3.837853078777051,1,0,18,22,1,0,10.25
Cat,Siamese,White,Small,17.908962848242165,1,0,67,164,0,0,8.58
Cat,Siamese,Gray,Large,10.372633245863945,1,0,3,85,0,0,11.83
Rabbit,Rabbit,Orange,Large,4.040236668973748,0,0,47,315,0,0,14.75
Bird,Parakeet,Brown,Medium,3.309963900992264,0,0,60,49,0,0,14.58
Cat,Siamese,Orange,Large,21.25180116710268,1,0,61,131,0,0,6.5
Bird,Parakeet,Black,Large,28.488039817973,1,0,1,459,0,0,14.0
Dog,Poodle,Black,Medium,19.23732118798585,1,0,33,257,0,1,11.0
Cat,Persian,Gray,Medium,4.658439792346687,0,0,47,45,0,0,14.25
Bird,Parakeet,Brown,Small,12.828595695712512,1,0,44,460,0,0,4.5
Bird,Parakeet,Gray,Small,22.018822273793194,1,0,45,422,1,0,13.67
Cat,Persian,Orange,Small,29.76312198144528,0,1,73,211,1,0,1.67
Cat,Persian,Orange,Medium,9.657889853482754,0,0,13,423,1,0,12.25
Bird,Parakeet,Orange,Medium,2.6240669592310044,1,0,78,64,0,1,0.33
Cat,Persian,White,Large,3.727734786629073,0,0,72,427,0,0,13.08
Bird,Parakeet,Brown,Small,29.475254346321343,1,0,69,197,0,1,14.92
Bird,Parakeet,Gray,Large,25.81366626020345,1,0,14,424,0,0,2.67
Bird,Parakeet,Orange,Small,23.90926050048641,1,0,45,143,0,0,13.58
Rabbit,Rabbit,Brown,Small,10.413655144811395,1,0,67,162,1,0,11.5
Rabbit,Rabbit,Orange,Small,11.991169162167784,1,0,70,196,0,0,3.83
Rabbit,Rabbit,Gray,Medium,20.50668596227691,0,0,22,236,1,0,4.33
Cat,Siamese,Gray,Large,28.92578184481026,0,0,15,196,0,0,10.75
Bird,Parakeet,Orange,Small,19.51776809465549,1,0,24,267,0,1,0.42
Dog,Labrador,White,Small,23.75697904020139,1,0,6,183,1,1,1.83
Rabbit,Rabbit,Orange,Small,13.81532750438885,1,0,79,8,1,1,1.75
Bird,Parakeet,Black,Medium,22.612003099000795,0,0,22,51,0,0,10.0
Rabbit,Rabbit,Gray,Large,23.31962275262598,1,0,56,183,0,0,8.5
Dog,Golden Retriever,Gray,Small,3.1904648055503206,1,1,23,328,0,0,9.08
Rabbit,Rabbit,White,Large,10.28164507967344,1,1,27,110,0,0,12.58
Bird,Parakeet,White,Small,13.018587362081613,0,0,80,315,0,0,3.67
Dog,Labrador,Brown,Medium,4.92199454614854,1,0,9,407,0,1,1.33
Dog,Poodle,White,Small,14.417947118946984,1,0,54,84,0,0,12.33
Bird,Parakeet,Black,Medium,14.679264239845075,1,0,49,371,1,1,1.17
Dog,Labrador,Brown,Large,13.973165921163144,1,0,86,320,1,1,7.58
Rabbit,Rabbit,Orange,Small,18.848091191147773,1,0,18,211,1,0,12.92
Dog,Golden Retriever,Gray,Large,26.349164422749084,1,1,70,342,0,0,12.67
Cat,Persian,Black,Small,24.71766923903014,1,0,1,437,0,0,3.5
Cat,Persian,White,Medium,5.343536818746178,1,0,50,482,1,1,0.67
Bird,Parakeet,Gray,Medium,3.0642268532245005,1,0,37,434,0,1,5.75
Bird,Parakeet,Black,Small,16.10558317497782,1,0,82,17,1,0,7.67
Cat,Siamese,Brown,Large,9.4829355898899,1,0,46,268,1,0,6.42
Bird,Parakeet,Black,Small,27.141958056613007,1,0,41,35,0,0,3.42
Rabbit,Rabbit,Gray,Medium,24.56576653355698,0,0,53,318,1,0,4.08
Bird,Parakeet,Orange,Small,17.96725667482327,0,0,86,144,0,0,4.17
Rabbit,Rabbit,Gray,Large,17.63520788034433,0,0,81,418,0,0,9.75
Rabbit,Rabbit,White,Small,29.078056385024254,1,0,60,462,0,1,0.42
Dog,Golden Retriever,White,Large,17.947481726094264,0,0,3,279,0,0,8.42
Bird,Parakeet,Brown,Small,1.863924616946043,0,0,88,207,0,0,5.42
Cat,Siamese,Orange,Large,19.848610846810782,0,0,33,71,0,0,7.83
Rabbit,Rabbit,Orange,Small,26.57519525814033,1,0,67,111,0,1,1.33
Bird,Parakeet,Brown,Small,18.513692866204597,0,0,64,185,0,0,3.92
Bird,Parakeet,Orange,Small,11.037146504767822,1,1,87,88,1,0,13.67
Dog,Poodle,Black,Large,14.310121823895116,1,0,73,186,0,0,13.5
Bird,Parakeet,Gray,Large,8.569823354539595,1,1,50,152,0,0,8.92
Bird,Parakeet,Brown,Large,7.616811498776268,1,0,6,457,1,0,8.75
Cat,Persian,Brown,Medium,12.89849128537445,1,0,57,468,0,1,8.25
Dog,Golden Retriever,Orange,Medium,10.888030340412056,1,1,63,116,0,0,4.08
Cat,Persian,Gray,Large,19.640519951736085,1,1,64,260,0,0,5.58
Rabbit,Rabbit,Gray,Medium,22.73881424724543,0,0,12,256,0,0,4.25
Rabbit,Rabbit,Orange,Medium,16.292270708395932,1,0,73,499,0,1,5.17
Cat,Persian,Brown,Small,15.230136031882536,0,0,44,377,0,0,13.67
Rabbit,Rabbit,Brown,Medium,28.88009163416774,1,0,46,307,0,1,8.75
Cat,Persian,Orange,Small,28.929729796036277,0,0,66,231,0,0,9.0
Rabbit,Rabbit,Gray,Large,9.222892316379784,1,0,54,141,0,1,1.58
Rabbit,Rabbit,White,Small,28.018118243011557,1,0,71,159,0,1,0.67
Dog,Labrador,White,Small,4.369236653368585,1,0,64,118,1,1,12.25
Cat,Siamese,White,Large,26.885728513280263,1,1,46,418,0,0,14.58
Rabbit,Rabbit,Brown,Small,17.071441879138945,0,0,62,81,1,0,14.42
Rabbit,Rabbit,Gray,Small,2.788562925007766,0,0,82,24,0,0,11.08
Dog,Labrador,Orange,Large,9.420678162094594,0,1,68,107,1,0,3.58
Rabbit,Rabbit,Orange,Small,8.758283877201928,1,1,24,193,0,0,10.67
Dog,Poodle,White,Large,11.02617731359694,1,1,36,322,0,1,14.33
Cat,Siamese,Black,Medium,23.477372209834456,1,0,8,239,0,1,11.67
Rabbit,Rabbit,Gray,Large,18.889657922990263,1,0,46,465,1,0,3.25
Bird,Parakeet,Orange,Medium,2.90814831606193,0,0,38,381,1,0,6.17
Rabbit,Rabbit,Brown,Small,21.22598701676488,1,0,61,139,0,0,8.08
Bird,Parakeet,Orange,Medium,14.870226357820249,1,0,43,24,0,1,13.42
Dog,Golden Retriever,Orange,Small,20.64643727295923,1,0,49,201,0,0,9.33
Bird,Parakeet,Orange,Medium,5.365793053804516,1,0,41,276,0,1,3.17
Bird,Parakeet,Black,Small,24.92027762247646,1,0,47,257,0,0,13.58
Cat,Siamese,Orange,Small,17.28286036836363,0,1,20,2,0,0,4.42
Cat,Siamese,White,Medium,15.6134777360374,1,0,65,101,1,1,12.42
Dog,Golden Retriever,Gray,Large,10.649290465531813,1,0,64,321,0,0,11.17
Cat,Siamese,Black,Large,24.59485605344086,0,0,35,175,0,1,10.67
Bird,Parakeet,Gray,Large,4.1101581713795365,1,1,65,5,0,0,9.17
Dog,Labrador,Brown,Small,20.762343347332887,1,0,23,362,1,1,4.42
Dog,Labrador,Orange,Small,6.898977063751136,1,0,55,114,0,1,13.0
Rabbit,Rabbit,Orange,Medium,2.004870584606495,1,1,45,109,1,0,5.0
Cat,Persian,Gray,Small,2.0430069301889717,1,1,5,42,0,0,5.83
Dog,Poodle,White,Large,13.39766540768762,1,0,61,424,0,0,2.0
Rabbit,Rabbit,Orange,Large,8.969136512269117,1,0,21,393,0,0,11.0
Bird,Parakeet,Orange,Medium,10.30125967799552,1,1,79,321,0,0,6.25
Dog,Poodle,Gray,Medium,26.844823124652475,1,0,58,386,0,1,11.17
Rabbit,Rabbit,Gray,Small,18.330782537041355,1,1,72,9,0,0,14.92
Bird,Parakeet,Gray,Medium,15.856710466548527,1,0,41,107,0,0,3.25
Rabbit,Rabbit,Orange,Medium,25.906405919013547,0,0,53,322,0,0,14.92
Bird,Parakeet,Brown,Medium,1.8832764340444077,0,0,21,213,0,0,3.0
Bird,Parakeet,Orange,Small,24.967155921194426,1,0,37,358,1,1,9.58
Dog,Golden Retriever,Black,Medium,13.660869930512908,1,0,59,391,1,1,14.42
